Sidebar item,Item key,Name,Raw key,User value,Unit
Costs & efficiencies,Infrastructure costs,Electricity infrastructure costs,costs_infrastructure_electricity_lv_mv_trafo,,€/kW
Costs & efficiencies,Infrastructure costs,Electricity infrastructure costs,costs_infrastructure_electricity_lv_net,,€/kW
Costs & efficiencies,Infrastructure costs,Electricity infrastructure costs,costs_infrastructure_electricity_mv_hv_trafo,,€/kW
Costs & efficiencies,Infrastructure costs,Electricity infrastructure costs,costs_infrastructure_electricity_mv_net,,€/kW
Costs & efficiencies,Infrastructure costs,Electricity infrastructure costs,costs_infrastructure_electricity_offshore_net,,€/kW
Costs & efficiencies,Fuel prices,Fossil fuels,costs_oil,,$/barrel
Costs & efficiencies,Fuel prices,Nuclear fuels,costs_uranium,,€/kg
Costs & efficiencies,Weighted average cost of capital (WACC),Weighted average cost of capital (WACC),costs_wacc_households,,%
Costs & efficiencies,Weighted average cost of capital (WACC),Weighted average cost of capital (WACC),costs_wacc_proven_technologies,,%
Costs & efficiencies,Weighted average cost of capital (WACC),Weighted average cost of capital (WACC),costs_wacc_public_infrastructure,,%
Costs & efficiencies,Weighted average cost of capital (WACC),Weighted average cost of capital (WACC),costs_wacc_unproven_technologies,,%
Costs & efficiencies,Fuel prices,Biofuels,costs_wood,, €/Tonne
Flexibility,Load on electricity network,Curtailment - solar PV,curtailment_of_buildings_solar_pv_solar_radiation,,%
Flexibility,Load on electricity network,Curtailment - solar PV,curtailment_of_energy_power_solar_pv_offshore,,%
Flexibility,Load on electricity network,Curtailment - solar PV,curtailment_of_energy_power_solar_pv_solar_radiation,,%
Flexibility,Load on electricity network,Curtailment - solar PV,curtailment_of_households_solar_pv_solar_radiation,,%
Flexibility,Load on electricity network,Demand response - load shifting in industry,deficit_limit_of_industry_chemical_flexibility_load_shifting_electricity,,hours
Flexibility,Load on electricity network,Demand response - load shifting in industry,deficit_limit_of_industry_metal_flexibility_load_shifting_electricity,,hours
Flexibility,Load on electricity network,Demand response - load shifting in industry,deficit_limit_of_industry_other_flexibility_load_shifting_electricity,,hours
Flexibility,Load on electricity network,Demand response - load shifting in industry,deficit_limit_of_industry_other_ict_flexibility_load_shifting_electricity,,hours
Emissions,Carbon capture utilisation and storage,Capture of CO<sub>2</sub> in energy sector,demand_of_molecules_direct_air_capture_co2,,Mton
Emissions,Carbon capture utilisation and storage,Utilisation and storage of CO<sub>2</sub>,demand_of_molecules_offshore_sequestration_co2,,Mton
Emissions,Carbon capture utilisation and storage,Utilisation and storage of CO<sub>2</sub>,demand_of_molecules_other_utilisation_co2,,Mton
Costs & efficiencies,Renewable electricity,Biomass plants,efficiency_agriculture_chp_engine_biogas_electricity,,%
Costs & efficiencies,Renewable electricity,Biomass plants,efficiency_agriculture_chp_engine_biogas_heat,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_agriculture_chp_engine_dispatchable_network_gas_electricity,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_agriculture_chp_engine_dispatchable_network_gas_heat,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_agriculture_chp_engine_must_run_network_gas_electricity,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_agriculture_chp_engine_must_run_network_gas_heat,,%
Costs & efficiencies,Renewable electricity,Biomass plants,efficiency_agriculture_chp_wood_pellets_electricity,,%
Costs & efficiencies,Renewable electricity,Biomass plants,efficiency_agriculture_chp_wood_pellets_heat,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_agriculture_heatpump_water_water_electricity,,COP
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_agriculture_heatpump_water_water_ts_electricity,,COP
Costs & efficiencies,Hydrogen carriers and ammonia,Hydrogen production,efficiency_ammonia_reforming,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_buildings_space_heater_collective_heatpump_water_water_ts_electricity,,COP
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_buildings_space_heater_combined_hydrogen,,%
