Var no.,Static or (change) variable,Equivalent?,Complementary ,Synthetic,InVar no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,Value (TO UPDATE),Unit,Unit description,InVar min value,InVar max value,Short methodology desc
47,Variable (c),,,,,Demand,Households,Space heating & hot water,Space heating and hot water,Hybrid air heat pump (gas),,InVar,% of residences,,0%,100%,
48,Static,,,,,Demand,Households,Space heating & hot water,Space heating and hot water,Hybrid air heat pump (hydrogen),,0%,% of residences,,,,
49,Static,,,,,Demand,Households,Space heating & hot water,Space heating and hot water,Hybrid air heat pump (oil),,0%,% of residences,,,,
50,Static,,,,,Demand,Households,Space heating & hot water,Space heating and hot water,PVT heat pump,,0%,% of residences,,,,
51,Variable (c),,,,,Demand,Households,Space heating & hot water,Space heating and hot water,Biomass boiler,,InVar,% of residences,,0%,100%,
52.COM.51,Variable (c),,,,,Demand,Households,Space heating & hot water,Space heating and hot water,Electric boiler,,InVar,% of residences,,0%,100%,
53,Static,,,,,Demand,Households,Space heating & hot water,Space heating and hot water,Gas-fired heater,,0%,% of residences,,,,
54,Static,,,,,Demand,Households,Space heating & hot water,Space heating and hot water,Oil-fired heater,,0%,% of residences,,,,
55,Static,,,,,Demand,Households,Space heating & hot water,Space heating and hot water,Coal-fired heater,,0%,% of residences,,,,
56,Variable (c),,,,,Demand,Households,Cooling,Ground heat pump,,,ETM Change Var,% share,,0%,100%,Equal to the ratio of air pumps to ground pumps used for heating
57,Variable (c),,,,,Demand,Households,Cooling,Air heat pump,,,ETM Change Var,% share,,0%,100%,Equal to the ratio of air pumps to ground pumps used for heating
58,Static,,,,,Demand,Households,Cooling,Aquathermal heat pump with TS (surface water),,,0%,% share,,,,
59,Variable (c),,,,,Demand,Households,Cooling,Airconditioning,,,ETM Change Var,% share,,0%,100%,
60,Variable (c),,,,,Demand,Households,Cooking,Gas,,,InVar,% share,,0%,89%,
61,Static,,,,,Demand,Households,Cooking,Electric,,,10%,% share,,,,
62,Static,,,,,Demand,Households,Cooking,Halogen,,,0%,% share,,,,Legacy technology
63,Variable (c),,,,,Demand,Households,Cooking,Induction,,,InVar,% share,,0%,89%,
64,Static,,,,,Demand,Households,Cooking,Biomass,,,1%,% share,,,,Niche technology
65,Variable (c),,,,,Demand,Households,Appliances,Dish washer,,,-15%,% change,in energy use,,,Increased number and use balances efficiency gains. Conservative
66.EQ.65.1,Variable (c),Equivalent,,,,Demand,Households,Appliances,Fridge / Freezer,,,-15%,% change,in energy use,,,Increased number and use balances efficiency gains. Conservative
67.EQ.65.2,Variable (c),Equivalent,,,,Demand,Households,Appliances,Washing machine,,,-15%,% change,in energy use,,,Increased number and use balances efficiency gains. Conservative
68.EQ.65.3,Variable (c),Equivalent,,,,Demand,Households,Appliances,Dryer,,,-15%,% change,in energy use,,,Increased number and use balances efficiency gains. Conservative
