Var no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,database_item,Extended_type
57,Demand,Households,Cooling,Air heat pump,,,households_cooling_heatpump_air_water_electricity_share,
58,Demand,Households,Cooling,Aquathermal heat pump with TS (surface water),,,households_cooling_heatpump_surface_water_water_ts_electricity_share,
59,Demand,Households,Cooling,Airconditioning,,,households_cooling_airconditioning_electricity_share,
60,Demand,Households,Cooking,Gas,,,households_cooker_network_gas_share,
61,Demand,Households,Cooking,Electric,,,households_cooker_resistive_electricity_share,
62,Demand,Households,Cooking,Halogen,,,households_cooker_halogen_electricity_share,
63,Demand,Households,Cooking,Induction,,,households_cooker_induction_electricity_share,
64,Demand,Households,Cooking,Biomass,,,households_cooker_wood_pellets_share,
65,Demand,Households,Appliances,Dish washer,,,households_appliances_electricity_efficiency,
66,Demand,Households,Appliances,Fridge / Freezer,,,,
67,Demand,Households,Appliances,Washing machine,,,,
68,Demand,Households,Appliances,Dryer,,,,
69,Demand,Households,Appliances,Television,,,,
70,Demand,Households,Appliances,Vacuum cleaner,,,,
71,Demand,Households,Appliances,Computer / Media,,,,
72,Demand,Households,Appliances,Other,,,,
73,Demand,Households,Lighting,Incandescent,,,households_lighting_incandescent_electricity_share,
74,Demand,Households,Lighting,Low-energy light bulb,,,households_lighting_efficient_fluorescent_electricity_share,
75,Demand,Households,Lighting,LED,,,households_lighting_led_electricity_share,
76,Demand,Households,Development of demand,Per person,Hot water,,households_useful_demand_hot_water_share,
77,Demand,Households,Development of demand,Per person,Electric appliances,,households_useful_demand_electric_appliances,
78,Demand,Households,Development of demand,Per person,Lighting,,households_useful_demand_lighting,
79,Demand,Households,Development of demand,Per person,Cooking,,households_useful_demand_cooking_per_person,
80,Demand,Households,Development of demand,Per residence,Cooling demand,,households_useful_demand_for_cooling,
81,Demand,Households,Behaviour,Turn off appliances,,,,
82,Demand,Households,Behaviour,Turn off the light,,,,
83,Demand,Households,Behaviour,Low-temperature washing,,,,
84,Demand,Households,Merit order,Capacities,Coal heater,,households_heater_coal_heat_output_capacity,
85,Demand,Households,Merit order,Capacities,Oil heater,,households_heater_crude_oil_heat_output_capacity,
86,Demand,Households,Merit order,Capacities,Gas-fired heater,,households_heater_network_gas_heat_output_capacity,
87,Demand,Households,Merit order,Capacities,Condensing combi boiler (gas),,households_heater_combined_network_gas_heat_output_capacity,
88,Demand,Households,Merit order,Capacities,Condensing combi boiler (hydrogen),,households_heater_combined_hydrogen_heat_output_capacity,
89,Demand,Households,Merit order,Capacities,Wood pellet boiler,,households_heater_wood_pellets_heat_output_capacity,
90,Demand,Households,Merit order,Capacities,Electric boiler,,households_heater_electricity_heat_output_capacity,
91,Demand,Households,Merit order,Capacities,Air heat pump,,households_heater_heatpump_air_water_electricity_heat_output_capacity,
92,Demand,Households,Merit order,Capacities,Ground heat pump,,households_heater_heatpump_ground_water_electricity_heat_output_capacity,
93,Demand,Households,Merit order,Capacities,Aquathermal heat pump with TS (surface water),,households_heater_heatpump_surface_water_water_ts_electricity_heat_output_capacity,
94,Demand,Households,Merit order,Capacities,Ground heat pump with PVT,,households_heater_heatpump_pvt_electricity_heat_output_capacity,
95,Demand,Households,Merit order,Capacities,LT district heating,,households_heater_district_heating_lt_steam_hot_water_heat_output_capacity,
96,Demand,Households,Merit order,Capacities,MT district heating,,households_heater_district_heating_mt_steam_hot_water_heat_output_capacity,
97,Demand,Households,Merit order,Capacities,HT district heating,,households_heater_district_heating_ht_steam_hot_water_heat_output_capacity,
98,Demand,Households,Merit order,Capacities,Hybrid air heat pump (gas),,households_heater_hybrid_heatpump_air_water_electricity_heat_output_capacity,
99,Demand,Households,Merit order,Capacities,Hybrid air heat pump (hydrogen),,households_heater_hybrid_hydrogen_heatpump_air_water_electricity_heat_output_capacity,
100,Demand,Households,Merit order,Capacities,Hybrid air heat pump (crude oil),,households_heater_hybrid_crude_oil_heatpump_air_water_electricity_heat_output_capacity,
101,Demand,Households,Merit order,Merit order,,,,
102,Demand,Households,Merit order,Merit order,,,,
103,Demand,Households,Merit order,Merit order,,,,
104,Demand,Households,Merit order,Merit order,,,,
105,Demand,Households,Merit order,Merit order,,,,
106,Demand,Households,Merit order,Merit order,,,,
107,Demand,Households,Merit order,Merit order,,,,
108,Demand,Households,Merit order,Merit order,,,,
109,Demand,Households,Merit order,Merit order,,,,
110,Demand,Households,Merit order,Merit order,,,,
111,Demand,Households,Merit order,Merit order,,,,
112,Demand,Households,Merit order,Merit order,,,,
113,Demand,Households,Merit order,Merit order,,,,
114,Demand,Households,Merit order,Merit order,,,,
115,Demand,Households,Merit order,Merit order,,,,
116,Demand,Households,Merit order,Merit order,,,,
117,Demand,Households,Merit order,Merit order,,,,
118,Demand,Buildings,Building stock,New buildings,,,buildings_number_of_buildings_future,
119,Demand,Buildings,Building stock,Existing buildings,,,buildings_number_of_buildings_present,
120,Demand,Buildings,Heat demand & insulation,New buildings,,,buildings_insulation_level_buildings_future,
121,Demand,Buildings,Heat demand & insulation,Present buildings,,,buildings_insulation_level_buildings_present,
122,Demand,Buildings,Space heating,Hot water,Solar thermal collectors,,buildings_space_heater_solar_thermal_share,
123,Demand,Buildings,Space heating,Space heating,Condensing combi boiler (gas),,buildings_space_heater_network_gas_share,
124,Demand,Buildings,Space heating,Space heating,Condensing combi boiler (hydrogen),,buildings_space_heater_combined_hydrogen_share,
125,Demand,Buildings,Space heating,Space heating,HT district heating,,buildings_space_heater_district_heating_ht_steam_hot_water_share,
