Var no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,database_item,Extended_type
284,Demand,Industry,Food ,Heat production,Coal-fired heater,,industry_other_food_burner_coal_share,
285,Demand,Industry,Food ,Heat production,Biomass-fired heater,,industry_other_food_burner_wood_pellets_share,
286,Demand,Industry,Food ,Heat production,H2-fired heater,,industry_other_food_burner_hydrogen_share,
287,Demand,Industry,Food ,Heat production,Electric boiler,,industry_other_food_heater_electricity_share,
288,Demand,Industry,Food ,Heat production,Steam network,,,
289,Demand,Industry,Food ,Hybrid heating,Power-to-heat boiler for gas and H2 heaters,,capacity_of_industry_other_food_flexibility_p2h_electricity,
290,Demand,Industry,Paper,Size,,,industry_useful_demand_for_other_paper,
291,Demand,Industry,Paper,Efficiency improvement (in total),Electricity,,industry_useful_demand_for_other_paper_electricity_efficiency,
292,Demand,Industry,Paper,Efficiency improvement (in total),Heat,,industry_useful_demand_for_other_paper_useable_heat_efficiency,
293,Demand,Industry,Paper,Heat production,Gas-fired heater,,industry_other_paper_burner_network_gas_share,
294,Demand,Industry,Paper,Heat production,Oil-fired heater,,industry_other_paper_burner_crude_oil_share,
295,Demand,Industry,Paper,Heat production,Coal-fired heater,,industry_other_paper_burner_coal_share,
296,Demand,Industry,Paper,Heat production,Biomass-fired heater,,industry_other_paper_burner_wood_pellets_share,
297,Demand,Industry,Paper,Heat production,H2-fired heater,,industry_other_paper_burner_hydrogen_share,
298,Demand,Industry,Paper,Heat production,Electric boiler,,industry_other_paper_heater_electricity_share,
299,Demand,Industry,Paper,Heat production,Steam network,,,
300,Demand,Industry,Paper,Hybrid heating,Power-to-heat boiler for gas and H2 heaters,,capacity_of_industry_other_paper_flexibility_p2h_electricity,
301,Demand,Industry,Other,Size (energetic),,,industry_useful_demand_for_aggregated_other_energetic,
302,Demand,Industry,Other,Size (non-energetic),,,industry_useful_demand_for_aggregated_other_non_energetic,
303,Demand,Industry,Other,Efficiency improvement (in total),Electricity,,industry_useful_demand_for_aggregated_other_electricity_efficiency,
304,Demand,Industry,Other,Efficiency improvement (in total),Heat,,industry_useful_demand_for_aggregated_other_useable_heat_efficiency,
305,Demand,Industry,Other,Energetic use of carriers,Biomass,,industry_aggregated_other_industry_wood_pellets_share_energetic,
306,Demand,Industry,Other,Energetic use of carriers,Electricity,,industry_aggregated_other_industry_electricity_share,
307,Demand,Industry,Other,Energetic use of carriers,Oil,,industry_aggregated_other_industry_crude_oil_share_energetic,
308,Demand,Industry,Other,Energetic use of carriers,Gas,,industry_aggregated_other_industry_network_gas_share_energetic,
309,Demand,Industry,Other,Energetic use of carriers,Coal,,industry_aggregated_other_industry_coal_share_energetic,
310,Demand,Industry,Other,Energetic use of carriers,Cokes,,industry_aggregated_other_industry_cokes_share_energetic,
311,Demand,Industry,Other,Energetic use of carriers,Heat,,industry_aggregated_other_industry_useable_heat_share,
312,Demand,Industry,Other,Energetic use of carriers,Hydrogen,,industry_aggregated_other_industry_hydrogen_share_energetic,
313,Demand,Industry,Other,Non-energetic use of carriers,Biomass,,industry_aggregated_other_industry_wood_pellets_share_non_energetic,
314,Demand,Industry,Other,Non-energetic use of carriers,Oil,,industry_aggregated_other_industry_crude_oil_share_non_energetic,
315,Demand,Industry,Other,Non-energetic use of carriers,Gas,,industry_aggregated_other_industry_network_gas_share_non_energetic,
316,Demand,Industry,Other,Non-energetic use of carriers,Coal,,industry_aggregated_other_industry_coal_share_non_energetic,
317,Demand,Industry,Other,Non-energetic use of carriers,Cokes,,industry_aggregated_other_industry_cokes_share_non_energetic,
318,Demand,Industry,Other,Non-energetic use of carriers,Hydrogen,,industry_aggregated_other_industry_hydrogen_share_non_energetic,
319,Demand,Industry,Steam network sources,CHPs,Gas CCGT CHPs,,capacity_of_industry_chp_combined_cycle_gas_power_fuelmix,
320,Demand,Industry,Steam network sources,CHPs,Gas turbine CHP,,capacity_of_industry_chp_turbine_gas_power_fuelmix,
321,Demand,Industry,Steam network sources,CHPs,Gas motor CHP,,capacity_of_industry_chp_engine_gas_power_fuelmix,
322,Demand,Industry,Steam network sources,CHPs,Pulverized coal CHP,,capacity_of_industry_chp_ultra_supercritical_coal,
323,Demand,Industry,Steam network sources,CHPs,Biomass CHP,,capacity_of_industry_chp_wood_pellets,
324,Demand,Industry,Steam network sources,CHPs,Hydrogen turbine CHP,,capacity_of_industry_chp_turbine_hydrogen,
325,Demand,Industry,Steam network sources,Heaters,Coal heater,,capacity_of_industry_heat_burner_coal,
326,Demand,Industry,Steam network sources,Heaters,Oil heater,,capacity_of_industry_heat_burner_crude_oil,
327,Demand,Industry,Steam network sources,Heaters,Geothermal heater,,capacity_of_industry_heat_well_geothermal,
328,Demand,Industry,Steam network sources,Heaters,Hydrogen heater,,capacity_of_industry_heat_burner_hydrogen,
329,Demand,Agriculture,Development of demand,Electricity,,,agriculture_useful_demand_electricity,
330,Demand,Agriculture,Development of demand,Heat,,,agriculture_useful_demand_useable_heat,
331,Demand,Agriculture,Heat,Heat production,Gas-fired heater,,agriculture_burner_network_gas_share,
332,Demand,Agriculture,Heat,Heat production,Oil-fired heater,,agriculture_burner_crude_oil_share,
333,Demand,Agriculture,Heat,Heat production,Biomass-fired heater,,agriculture_burner_wood_pellets_share,
334,Demand,Agriculture,Heat,Heat production,H2-fired heater,,agriculture_burner_hydrogen_share,
335,Demand,Agriculture,Heat,Heat production,Water heat pump,,agriculture_heatpump_water_water_electricity_share,
336,Demand,Agriculture,Heat,Heat production,Water heat pump with TS,,agriculture_heatpump_water_water_ts_electricity_share,
337,Demand,Agriculture,Heat,Heat production,Geothermal,,agriculture_geothermal_share,
338,Demand,Agriculture,Heat,Heat production,HT district heating,,agriculture_final_demand_ht_central_steam_hot_water_share,
339,Demand,Agriculture,Heat,Heat production,MT district heating,,agriculture_final_demand_mt_central_steam_hot_water_share,
340,Demand,Agriculture,Heat,Heat production,Heat from local CHPs,,agriculture_final_demand_local_steam_hot_water_share,
341,Demand,Agriculture,Heat,Hybrid heating,Power-to heat boiler for gas and H2 heaters,,capacity_of_agriculture_flexibility_p2h_electricity,
342,Demand,Agriculture,Heat from local CHPs,Dispatchable capacity,Biomass CHP,,capacity_of_agriculture_chp_wood_pellets,
343,Demand,Agriculture,Heat from local CHPs,Dispatchable capacity,Gas motor CHP,,capacity_of_agriculture_chp_engine_network_gas_dispatchable,
344,Demand,Agriculture,Heat from local CHPs,Must-run capacity,Biogas CHP,,capacity_of_agriculture_chp_engine_biogas,
345,Demand,Agriculture,Heat from local CHPs,Must-run capacity,Gas motor CHP,,capacity_of_agriculture_chp_engine_network_gas_must_run,
346,Demand,Other,Energy demand other users,Electricity,,,other_useful_demand_electricity,
347,Demand,Other,Energy demand other users,Heat,,,other_useful_demand_useable_heat,
348,Demand,Other,Energy demand other users,Non-energetic,,,other_useful_demand_non_energetic,
349,Demand,Export,Export volumes per carrier,Coal and products,Coal,,volume_of_baseload_export_coal,
350,Demand,Export,Export volumes per carrier,Coal and products,Lignite,,volume_of_baseload_export_lignite,
351,Demand,Export,Export volumes per carrier,Coal and products,Cokes,,volume_of_baseload_export_cokes,
352,Demand,Export,Export volumes per carrier,Oil and products,Crude oil,,volume_of_baseload_export_crude_oil,
353,Demand,Export,Export volumes per carrier,Oil and products,Kerosene,,volume_of_baseload_export_kerosene,
354,Demand,Export,Export volumes per carrier,Oil and products,Gasoline,,volume_of_baseload_export_gasoline,
355,Demand,Export,Export volumes per carrier,Oil and products,Diesel,,volume_of_baseload_export_diesel,
356,Demand,Export,Export volumes per carrier,Oil and products,LPG,,volume_of_baseload_export_lpg,
357,Demand,Export,Export volumes per carrier,Oil and products,Heavy fuel oil,,volume_of_baseload_export_heavy_fuel_oil,
358,Demand,Export,Export volumes per carrier,Network gas and derivatives,Network gas,,volume_of_baseload_export_network_gas,
359,Demand,Export,Export volumes per carrier,Network gas and derivatives,LNG,,volume_of_baseload_export_lng,
360,Demand,Export,Export volumes per carrier,Hydrogen carriers,Hydrogen,,volume_of_baseload_export_hydrogen,
361,Demand,Export,Export volumes per carrier,Hydrogen carriers,Liquid hydrogen,,volume_of_baseload_export_liquid_hydrogen,
362,Demand,Export,Export volumes per carrier,Hydrogen carriers,LOHC,,volume_of_baseload_export_lohc,
363,Demand,Export,Export volumes per carrier,Hydrogen carriers,Ammonia,,volume_of_baseload_export_ammonia,
364,Supply,Electricity,Coal plants,Pulverized coal,,,capacity_of_energy_power_ultra_supercritical_coal,
365,Supply,Electricity,Coal plants,Pulverized coal with co-firing,,,capacity_of_energy_power_ultra_supercritical_cofiring_coal,
366,Supply,Electricity,Coal plants,Coal IGCC,,,capacity_of_energy_power_combined_cycle_coal,
367,Supply,Electricity,Coal plants,Coal conventional,,,capacity_of_energy_power_supercritical_coal,
368,Supply,Electricity,Coal plants,Pulverized coal CHP,,,capacity_of_energy_chp_ultra_supercritical_coal,
369,Supply,Electricity,Coal plants,Pulverized coal CHP with coal firing,,,capacity_of_energy_chp_ultra_supercritical_cofiring_coal,
370,Supply,Electricity,Gas plants,Gas CCGT,,,capacity_of_energy_power_combined_cycle_network_gas,
371,Supply,Electricity,Gas plants,Gas turbine,,,capacity_of_energy_power_turbine_network_gas,
372,Supply,Electricity,Gas plants,Gas conventional,,,capacity_of_energy_power_ultra_supercritical_network_gas,
373,Supply,Electricity,Gas plants,Gas combustion engine,,,capacity_of_energy_power_engine_network_gas,
374,Supply,Electricity,Gas plants,Gas CCGT CHP,,,capacity_of_energy_chp_combined_cycle_network_gas,
375,Supply,Electricity,Gas plants,Gas motor CHP,,,capacity_of_energy_chp_local_engine_network_gas,
376,Supply,Electricity,Oil plants,Oil-fired,,,capacity_of_energy_power_ultra_supercritical_crude_oil,
377,Supply,Electricity,Oil plants,Diesel generator,,,capacity_of_energy_power_engine_diesel,
378,Supply,Electricity,Nuclear plants,Large reactors,Nuclear 2nd Gen,,capacity_of_energy_power_nuclear_gen2_uranium_oxide,
379,Supply,Electricity,Nuclear plants,Large reactors,Nuclear 3rd Gen,,capacity_of_energy_power_nuclear_gen3_uranium_oxide,
380,Supply,Electricity,Nuclear plants,Large reactors,Dispatchable [OFF] / must-run [ON],,merit_order_subtype_of_energy_power_nuclear_uranium_oxide,
381,Supply,Electricity,Nuclear plants,Small reactors,Nuclear small modular reactors,,capacity_of_energy_power_nuclear_small_modular_reactor_uranium_oxide,
382,Supply,Electricity,Coal gas plants,Energy production,,,share_of_energy_steel_energy_production_coal_gas,
383,Supply,Electricity,Coal gas plants,Chemical feedstock,,,share_of_energy_steel_chemical_feedstock_coal_gas,
384,Supply,Renewable electricity,Wind turbines,Onshore inland,,,capacity_of_energy_power_wind_turbine_inland,
385,Supply,Renewable electricity,Wind turbines,Onshore coast,,,capacity_of_energy_power_wind_turbine_coastal,
386,Supply,Renewable electricity,Wind turbines,Offshore,,,capacity_of_energy_power_wind_turbine_offshore,
387,Supply,Renewable electricity,Wind turbines,Offshore with hybrid connection,,,capacity_of_energy_power_hybrid_wind_turbine_offshore,
388,Supply,Renewable electricity,Wind turbines,Onshore inland with battery system,,,capacity_of_energy_battery_wind_turbine_inland,
389,Supply,Renewable electricity,Solar power,Solar PV households,,,capacity_of_households_solar_pv_solar_radiation,
390,Supply,Renewable electricity,Solar power,Solar PV buildings,,,capacity_of_buildings_solar_pv_solar_radiation,
391,Supply,Renewable electricity,Solar power,Solar PV plants onshore,,,capacity_of_energy_power_solar_pv_solar_radiation,
392,Supply,Renewable electricity,Solar power,Solar PV plants onshore with battery system,,,capacity_of_energy_battery_solar_pv_solar_radiation,
393,Supply,Renewable electricity,Solar power,Concentrated solar power,,,capacity_of_energy_power_solar_pv_offshore,
394,Supply,Renewable electricity,Hydroelectric power,River,,,capacity_of_energy_power_hydro_river,
395,Supply,Renewable electricity,Hydroelectric power,Mountain,,,capacity_of_energy_power_hydro_mountain,
396,Supply,Renewable electricity,Biomass plants,Must-run capacity,Biogas CHP,,capacity_of_energy_chp_local_engine_biogas,
397,Supply,Renewable electricity,Biomass plants,Must-run capacity,Biomass CHP,,capacity_of_energy_chp_local_wood_pellets_must_run,
398,Supply,Renewable electricity,Biomass plants,Must-run capacity,Biomass power plant,,capacity_of_energy_power_wood_pellets_must_run,
399,Supply,Renewable electricity,Biomass plants,Dispatchable capacity,Biomasss CHP,,capacity_of_energy_chp_local_wood_pellets_dispatchable,
400,Supply,Renewable electricity,Biomass plants,Dispatchable capacity,Biomass power plant,,capacity_of_energy_power_wood_pellets_dispatchable,
401,Supply,Renewable electricity,Waste power,Waste incinerator,,,capacity_of_energy_power_supercritical_waste_mix,
402,Supply,Renewable electricity,Waste power,Waste CHP,,,capacity_of_energy_chp_supercritical_waste_mix,
403,Supply,Renewable electricity,Hydrogen plants,Hydrogen turbine,,,capacity_of_energy_power_turbine_hydrogen,
404,Supply,Renewable electricity,Hydrogen plants,Hydrogen CCGT,,,capacity_of_energy_power_combined_cycle_hydrogen,
405,Supply,Renewable electricity,Geothermal,Geothermal electric,,,capacity_of_energy_power_geothermal,
406,Supply,District heating,Allocation of heat from CHPs,Pulverized coal CHP,High temperature,,share_of_energy_chp_ultra_supercritical_ht_coal,
407,Supply,District heating,Allocation of heat from CHPs,Pulverized coal CHP,Medium temperature,,share_of_energy_chp_ultra_supercritical_mt_coal,
408,Supply,District heating,Allocation of heat from CHPs,Pulverized coal CHP with coal firing,High temperature,,share_of_energy_chp_ultra_supercritical_cofiring_ht_coal,
409,Supply,District heating,Allocation of heat from CHPs,Pulverized coal CHP with coal firing,Medium temperature,,share_of_energy_chp_ultra_supercritical_cofiring_mt_coal,
410,Supply,District heating,Allocation of heat from CHPs,Gas CCGT CHP,High temperature,,share_of_energy_chp_combined_cycle_ht_network_gas,
411,Supply,District heating,Allocation of heat from CHPs,Gas CCGT CHP,Medium temperature,,share_of_energy_chp_combined_cycle_mt_network_gas,
412,Supply,District heating,Allocation of heat from CHPs,Gas motor CHP,High temperature,,share_of_energy_chp_local_engine_ht_network_gas,
413,Supply,District heating,Allocation of heat from CHPs,Gas motor CHP,Medium temperature,,share_of_energy_chp_local_engine_mt_network_gas,
414,Supply,District heating,Allocation of heat from CHPs,Biomass CHP (must-run),High temperature,,share_of_energy_chp_local_ht_wood_pellets_must_run,
415,Supply,District heating,Allocation of heat from CHPs,Biomass CHP (must-run),Medium temperature,,share_of_energy_chp_local_mt_wood_pellets_must_run,
416,Supply,District heating,Allocation of heat from CHPs,Biomass CHP (dispatchable),High temperature,,share_of_energy_chp_local_ht_wood_pellets_dispatchable,
417,Supply,District heating,Allocation of heat from CHPs,Biomass CHP (dispatchable),Medium temperature,,share_of_energy_chp_local_mt_wood_pellets_dispatchable,
418,Supply,District heating,Allocation of heat from CHPs,Biogas CHP,High temperature,,share_of_energy_chp_local_engine_ht_biogas,
419,Supply,District heating,Allocation of heat from CHPs,Biogas CHP,Medium temperature,,share_of_energy_chp_local_engine_mt_biogas,
420,Supply,District heating,Allocation of heat from CHPs,Waste CHP,High temperature,,share_of_energy_chp_supercritical_ht_waste_mix,
421,Supply,District heating,Allocation of heat from CHPs,Waste CHP,Medium temperature,,share_of_energy_chp_supercritical_mt_waste_mix,
422,Supply,District heating,Allocation of power-to-heat,Power-to-heat boiler,High temperature,,share_of_energy_heat_flexibility_p2h_boiler_ht_electricity,
423,Supply,District heating,Allocation of power-to-heat,Power-to-heat boiler,Medium temperature,,share_of_energy_heat_flexibility_p2h_boiler_mt_electricity,
424,Supply,District heating,Allocation of power-to-heat,Power-to-heat heatpump,High temperature,,share_of_energy_heat_flexibility_p2h_heatpump_ht_electricity,
425,Supply,District heating,Allocation of power-to-heat,Power-to-heat heatpump,Medium temperature,,share_of_energy_heat_flexibility_p2h_heatpump_mt_electricity,
426,Supply,District heating,HT district heating,Sources,Must-run / volatile heat sources,Solar thermal,capacity_of_energy_heat_solar_ht_solar_thermal,
427,Supply,District heating,HT district heating,Sources,Must-run / volatile heat sources,Geothermal (deep),capacity_of_energy_heat_well_deep_ht_geothermal,
428,Supply,District heating,HT district heating,Sources,Must-run / volatile heat sources,Residual heat,volume_of_ht_residual_heat,
429,Supply,District heating,HT district heating,Sources,Must-run / volatile heat sources,Imported heat,volume_of_ht_imported_heat,
430,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Electric boiler,capacity_of_energy_heat_boiler_ht_electricity,
431,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Collective heat pump,capacity_of_energy_heat_heatpump_water_water_ht_electricity,
432,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Hydrogen heater,capacity_of_energy_heat_burner_ht_hydrogen,
433,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Biomass heater,capacity_of_energy_heat_burner_ht_wood_pellets,
434,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Waste heater,capacity_of_energy_heat_burner_ht_waste_mix,
435,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Oil heater,capacity_of_energy_heat_burner_ht_crude_oil,
436,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Gas heater (network gas),capacity_of_energy_heat_burner_ht_network_gas,
437,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Coal heater,capacity_of_energy_heat_burner_ht_coal,
438,Supply,District heating,HT district heating,(Seasonal) storage of heat,OFF / ON,,heat_storage_enabled_ht,
439,Supply,District heating,HT district heating,(Seasonal) storage of heat,Storage losses,Yearly losses,energy_heat_network_storage_ht_loss_share,
440,Supply,District heating,HT district heating,(Seasonal) storage of heat,Storage output capacity,Output capacity (as % of average hourly load),energy_heat_network_storage_ht_steam_hot_water_output_capacity_share,
441,Supply,District heating,HT district heating,Transport and distribution losses,Transport and distribution losses,,energy_heat_distribution_ht_loss_share,
442,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,,
443,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,,
444,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,,
445,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,,
446,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,,
447,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,,
448,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,,
449,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,,
450,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,,
451,Supply,District heating,MT district heating,Must-run / volatile heat sources,Solar thermal,,capacity_of_energy_heat_solar_mt_solar_thermal,
452,Supply,District heating,MT district heating,Must-run / volatile heat sources,Geothermal (deep),,capacity_of_energy_heat_well_deep_mt_geothermal,
453,Supply,District heating,MT district heating,Must-run / volatile heat sources,Geothermal (shallow) + heatpump,,capacity_of_energy_heat_well_shallow_heatpump_mt_geothermal,
454,Supply,District heating,MT district heating,Must-run / volatile heat sources,Residual heat,,volume_of_mt_residual_heat,
455,Supply,District heating,MT district heating,Must-run / volatile heat sources,Imported heat,,volume_of_mt_imported_heat,
456,Supply,District heating,MT district heating,Dispatchable heat sources,Collective heat pump,,capacity_of_energy_heat_heatpump_water_water_mt_electricity,
457,Supply,District heating,MT district heating,Dispatchable heat sources,Electric boiler,,capacity_of_energy_heat_boiler_mt_electricity,
458,Supply,District heating,MT district heating,Dispatchable heat sources,Hydrogen boiler,,capacity_of_energy_heat_burner_mt_hydrogen,
459,Supply,District heating,MT district heating,Dispatchable heat sources,Biomass heater,,capacity_of_energy_heat_burner_mt_wood_pellets,
460,Supply,District heating,MT district heating,Dispatchable heat sources,Waste heater,,capacity_of_energy_heat_burner_mt_waste_mix,
461,Supply,District heating,MT district heating,Dispatchable heat sources,Oil heater,,capacity_of_energy_heat_burner_mt_crude_oil,
462,Supply,District heating,MT district heating,Dispatchable heat sources,Gas heater (network gas),,capacity_of_energy_heat_burner_mt_network_gas,
463,Supply,District heating,MT district heating,Dispatchable heat sources,Coal heater,,capacity_of_energy_heat_burner_mt_coal,
464,Supply,District heating,MT district heating,Dispatchable heat sources,Aquathermal heat pump with TS (surface water),,capacity_of_energy_heat_heatpump_surface_water_water_ts_mt_electricity,
465,Supply,District heating,MT district heating,Dispatchable heat sources,Aquathermal heat pump with TS (waste water),,capacity_of_energy_heat_heatpump_waste_water_water_ts_mt_electricity,
466,Supply,District heating,MT district heating,Dispatchable heat sources,Aquathermal heat pump with TS (drink water),,capacity_of_energy_heat_heatpump_drink_water_water_ts_mt_electricity,
467,Supply,District heating,MT district heating,(Seasonal) storage of heat,OFF / ON,,heat_storage_enabled_mt,
468,Supply,District heating,MT district heating,(Seasonal) storage of heat,Storage losses,Yearly losses,energy_heat_network_storage_mt_loss_share,
469,Supply,District heating,MT district heating,(Seasonal) storage of heat,Storage output capacity,Output capacity (as % of average hourly load),energy_heat_network_storage_mt_steam_hot_water_output_capacity_share,
470,Supply,District heating,MT district heating,Transport and distribution losses,Transport and distribution losses,,energy_heat_distribution_mt_loss_share,
471,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,,
472,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,,
473,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,,
474,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,,
475,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,,
476,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,,
477,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,,
478,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,,
479,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,,
480,Supply,District heating,LT district heating,Must-run / volatile heat sources,Solar thermal,,capacity_of_energy_heat_solar_lt_solar_thermal,
481,Supply,District heating,LT district heating,Must-run / volatile heat sources,Geothermal (shallow),,capacity_of_energy_heat_well_shallow_lt_geothermal,
482,Supply,District heating,LT district heating,Must-run / volatile heat sources,Residual heat,,volume_of_lt_residual_heat,
483,Supply,District heating,LT district heating,Must-run / volatile heat sources,Imported heat,,volume_of_lt_imported_heat,
484,Supply,District heating,LT district heating,Dispatchable heat sources,Collective heat pump,,capacity_of_energy_heat_heatpump_water_water_lt_electricity,
485,Supply,District heating,LT district heating,Dispatchable heat sources,Electric boiler,,capacity_of_energy_heat_boiler_lt_electricity,
486,Supply,District heating,LT district heating,Dispatchable heat sources,Hydrogen heater,,capacity_of_energy_heat_burner_lt_hydrogen,
487,Supply,District heating,LT district heating,Dispatchable heat sources,Aquathermal heat pump with TS (surface water),,capacity_of_energy_heat_heatpump_surface_water_water_ts_lt_electricity,
488,Supply,District heating,LT district heating,Dispatchable heat sources,Aquathermal heat pump with TS (waste water),,capacity_of_energy_heat_heatpump_waste_water_water_ts_lt_electricity,
489,Supply,District heating,LT district heating,Dispatchable heat sources,Aquathermal heat pump with TS (drink water),,capacity_of_energy_heat_heatpump_drink_water_water_ts_lt_electricity,
490,Supply,District heating,LT district heating,(Seasonal) storage of heat,OFF / ON,,heat_storage_enabled_lt,
491,Supply,District heating,LT district heating,(Seasonal) storage of heat,Storage losses,Yearly losses,energy_heat_network_storage_lt_loss_share,
492,Supply,District heating,LT district heating,(Seasonal) storage of heat,Storage output capacity,Output capacity (as % of average hourly load),energy_heat_network_storage_lt_steam_hot_water_output_capacity_share,
493,Supply,District heating,LT district heating,Transport and distribution losses,Transport and distribution losses,,energy_heat_distribution_lt_loss_share,
494,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,,
495,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,,
496,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,,
497,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,,
498,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,,
499,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,,
500,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,,
501,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,,
502,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,,
503,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,Offshore wind turbine for H2,,capacity_of_energy_hydrogen_wind_turbine_offshore,
504,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,Solar PV plant for H2,,capacity_of_energy_hydrogen_solar_pv_solar_radiation,
505,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,Biomass gasification,,capacity_of_energy_hydrogen_biomass_gasification,
506,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,Steam methane reforming,,capacity_of_energy_hydrogen_steam_methane_reformer_must_run,
507,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,Autothermal reforming,,capacity_of_energy_hydrogen_autothermal_reformer_must_run,
508,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,Ammonia reforming,,capacity_of_energy_hydrogen_ammonia_reformer_must_run,
509,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,LH2 regasification,,capacity_of_energy_hydrogen_liquid_hydrogen_regasifier,
510,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,LOHC reforming,,capacity_of_energy_hydrogen_lohc_reformer,
511,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,H2 import,,capacity_of_energy_imported_hydrogen_baseload,
512,Supply,Hydrogen,Hydrogen production,Dispatchable hydrogen production,Steam methane reforming,,capacity_of_energy_hydrogen_steam_methane_reformer_dispatchable,
513,Supply,Hydrogen,Hydrogen production,Dispatchable hydrogen production,Autothermal reforming,,capacity_of_energy_hydrogen_autothermal_reformer_dispatchable,
514,Supply,Hydrogen,Hydrogen production,Dispatchable hydrogen production,Ammonia reforming,,capacity_of_energy_hydrogen_ammonia_reformer_dispatchable,
515,Supply,Hydrogen,Hydrogen production,Hydrogen transport,Transport via pipelines only,,energy_hydrogen_transport_pipelines_share,
516,Supply,Hydrogen,Hydrogen production,Hydrogen transport,Transport via pipelines and trucks,,energy_hydrogen_distribution_compressed_trucks_share,
517,Supply,Hydrogen,Hydrogen production,Hydrogen storage,Salt caverns,Storage volume,volume_of_energy_hydrogen_storage_salt_cavern,
518,Supply,Hydrogen,Hydrogen production,Hydrogen storage,Salt caverns,Relative storage capacity,capacity_of_energy_hydrogen_storage_salt_cavern,
519,Supply,Hydrogen,Hydrogen production,Hydrogen storage,Depleted gas fields,Storage volume,volume_of_energy_hydrogen_storage_depleted_gas_field,
520,Supply,Hydrogen,Hydrogen production,Hydrogen storage,Depleted gas fields,Relative storage capacity,capacity_of_energy_hydrogen_storage_depleted_gas_field,
521,Supply,Hydrogen,Hydrogen production,Merit order of dispatchable hydrogen production ,,,,
522,Supply,Hydrogen,Hydrogen production,Merit order of dispatchable hydrogen production ,,,,
523,Supply,Hydrogen,Hydrogen production,Merit order of dispatchable hydrogen production ,,,,
524,Supply,Hydrogen,Hydrogen production,Merit order of dispatchable hydrogen production ,,,,
525,Supply,Hydrogen,Hydrogen production,Merit order of dispatchable hydrogen production ,,,,
526,Supply,Hydrogen,Hydrogen production,Merit order of dispatchable hydrogen demand,,,,
527,Supply,Hydrogen,Hydrogen production,Merit order of dispatchable hydrogen demand,,,,
528,Supply,Hydrogen,Hydrogen production,Ammonia production,Ammonia import,,capacity_of_energy_imported_ammonia_baseload,
529,Supply,Transport fuels,Road transport,Composition diesel,Diesel,,transport_road_mixer_diesel_diesel_share,
530,Supply,Transport fuels,Road transport,Composition diesel,Biodiesel,,transport_road_mixer_diesel_biodiesel_share,
531,Supply,Transport fuels,Road transport,Composition gasoline,Gasoline,,transport_road_mixer_gasoline_gasoline_share,
532,Supply,Transport fuels,Road transport,Composition gasoline,Bio-ethanol,,transport_road_mixer_gasoline_ethanol_share,
533,Supply,Transport fuels,Road transport,Composition LNG,LNG,,transport_road_mixer_lng_lng_share,
