,sample_0,UK_united_kingdom_present,unit
dashboard_profitability,"{'agriculture_chp_engine_network_gas_dispatchable': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 95.0, 'profit_per_mwh_electricity': None}, 'agriculture_chp_wood_pellets': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 91.0, 'profit_per_mwh_electricity': None}, 'energy_chp_combined_cycle_ht_network_gas': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_chp_combined_cycle_mt_network_gas': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_chp_local_engine_ht_network_gas': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 95.0, 'profit_per_mwh_electricity': None}, 'energy_chp_local_engine_mt_network_gas': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 95.0, 'profit_per_mwh_electricity': None}, 'energy_chp_local_ht_wood_pellets_ccs_dispatchable': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 91.0, 'profit_per_mwh_electricity': None}, 'energy_chp_local_ht_wood_pellets_dispatchable': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 91.0, 'profit_per_mwh_electricity': None}, 'energy_chp_local_mt_wood_pellets_ccs_dispatchable': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 91.0, 'profit_per_mwh_electricity': None}, 'energy_chp_local_mt_wood_pellets_dispatchable': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 91.0, 'profit_per_mwh_electricity': None}, 'energy_chp_supercritical_ccs_ht_waste_mix': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_chp_supercritical_ccs_mt_waste_mix': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_chp_supercritical_ht_waste_mix': {'profitability': 'profitable', 'full_load_hours': 7884.000000000002, 'position': 3, 'capacity': 269.5043027081751, 'availability': 90.0, 'profit_per_mwh_electricity': 13.218257079575206}, 'energy_chp_supercritical_mt_waste_mix': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_chp_ultra_supercritical_cofiring_ht_coal': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_chp_ultra_supercritical_cofiring_mt_coal': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_chp_ultra_supercritical_ht_coal': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_chp_ultra_supercritical_ht_lignite': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_chp_ultra_supercritical_mt_coal': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_chp_ultra_supercritical_mt_lignite': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_power_combined_cycle_ccs_coal': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 83.0, 'profit_per_mwh_electricity': None}, 'energy_power_combined_cycle_ccs_network_gas': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 87.0, 'profit_per_mwh_electricity': None}, 'energy_power_combined_cycle_coal': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 85.0, 'profit_per_mwh_electricity': None}, 'energy_power_combined_cycle_hydrogen': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_power_combined_cycle_network_gas': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_power_engine_diesel': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 95.0, 'profit_per_mwh_electricity': None}, 'energy_power_engine_network_gas': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 95.0, 'profit_per_mwh_electricity': None}, 'energy_power_hydro_mountain': {'profitability': 'profitable', 'full_load_hours': 4467.6, 'position': 1, 'capacity': 1932.9999998744777, 'availability': 51.0, 'profit_per_mwh_electricity': 21.843516114225146}, 'energy_power_nuclear_gen2_uranium_oxide': {'profitability': 'profitable', 'full_load_hours': 7796.400000000001, 'position': 2, 'capacity': 9255.999999280542, 'availability': 89.0, 'profit_per_mwh_electricity': 15.030930606466503}, 'energy_power_nuclear_gen3_uranium_oxide': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 92.0, 'profit_per_mwh_electricity': None}, 'energy_power_nuclear_small_modular_reactor_uranium_oxide': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_power_supercritical_ccs_waste_mix': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_power_supercritical_coal': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': 8, 'capacity': 11802.999999643735, 'availability': 89.0, 'profit_per_mwh_electricity': None}, 'energy_power_supercritical_waste_mix': {'profitability': 'conditionally_profitable', 'full_load_hours': 7884.0, 'position': 4, 'capacity': 1321.4339999782944, 'availability': 90.0, 'profit_per_mwh_electricity': -12.878171763484703}, 'energy_power_turbine_hydrogen': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_power_turbine_network_gas': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_power_ultra_supercritical_ccs_coal': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 87.0, 'profit_per_mwh_electricity': None}, 'energy_power_ultra_supercritical_coal': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_power_ultra_supercritical_cofiring_coal': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_power_ultra_supercritical_crude_oil': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': 10, 'capacity': 694.8000000514934, 'availability': 89.0, 'profit_per_mwh_electricity': None}, 'energy_power_ultra_supercritical_lignite': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_power_ultra_supercritical_network_gas': {'profitability': 'unprofitable', 'full_load_hours': 500.5433710399559, 'position': 7, 'capacity': 33763.00000213704, 'availability': 90.0, 'profit_per_mwh_electricity': -46.92300679400098}, 'energy_power_ultra_supercritical_oxyfuel_ccs_lignite': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 87.0, 'profit_per_mwh_electricity': None}, 'energy_power_wood_pellets_ccs_dispatchable': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'energy_power_wood_pellets_dispatchable': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'industry_chp_combined_cycle_gas_power_fuelmix': {'profitability': 'conditionally_profitable', 'full_load_hours': 7877.098897633609, 'position': 5, 'capacity': 11266.314496684754, 'availability': 90.0, 'profit_per_mwh_electricity': -2.848231895647641}, 'industry_chp_engine_gas_power_fuelmix': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 95.0, 'profit_per_mwh_electricity': None}, 'industry_chp_turbine_gas_power_fuelmix': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'industry_chp_turbine_hydrogen': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': None, 'capacity': 0.0, 'availability': 90.0, 'profit_per_mwh_electricity': None}, 'industry_chp_ultra_supercritical_coal': {'profitability': 'unprofitable', 'full_load_hours': 7843.499999999974, 'position': 6, 'capacity': 9.314953271028036, 'availability': 90.0, 'profit_per_mwh_electricity': -11.530219786656842}, 'industry_chp_wood_pellets': {'profitability': 'unprofitable', 'full_load_hours': 0.0, 'position': 9, 'capacity': 148.14550927233327, 'availability': 90.0, 'profit_per_mwh_electricity': None}}",{},hash
dashboard_reduction_of_co2_emissions_versus_1990,-0.32492911139136427,0,factor
dashboard_reduction_of_local_co2_emissions_versus_1990,-0.32411290972796436,0,factor
dashboard_renewability,0.1096679142769723,0,factor
dashboard_renewability_households,0.15635526772934608,0,factor
dashboard_security_of_supply,0,0,hours
dashboard_share_of_curtailment_in_inflexible_production,0.0,0,%
dashboard_share_of_renewable_electricity,0.2779462926455975,0,factor
dashboard_total_costs,86.7670736365705,0,bln_euro
dashboard_total_curtailment,0.0,0,MJ
dashboard_total_number_of_excess_events,0,0,#
lv_net_peak_load_future,41570.35604513825,36559.73806493923,MW
