input,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9
industry_aggregated_other_industry_cokes_share_non_energetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_aggregated_other_industry_hydrogen_share_non_energetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chp_combined_cycle_gas_power_fuelmix,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
capacity_of_industry_chp_turbine_gas_power_fuelmix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chp_engine_gas_power_fuelmix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chp_ultra_supercritical_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chp_wood_pellets,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
capacity_of_industry_chp_turbine_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_heat_burner_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_heat_burner_crude_oil,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
capacity_of_industry_heat_well_geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_heat_burner_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_useful_demand_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_useful_demand_useable_heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_burner_network_gas_share,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
agriculture_burner_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_burner_wood_pellets_share,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
agriculture_burner_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_heatpump_water_water_electricity_share,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4
agriculture_heatpump_water_water_ts_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_geothermal_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_final_demand_ht_central_steam_hot_water_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_final_demand_mt_central_steam_hot_water_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_final_demand_local_steam_hot_water_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_agriculture_flexibility_p2h_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_agriculture_chp_wood_pellets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_agriculture_chp_engine_network_gas_dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_agriculture_chp_engine_biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_agriculture_chp_engine_network_gas_must_run,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other_useful_demand_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other_useful_demand_useable_heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other_useful_demand_non_energetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_lignite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_cokes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_crude_oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_kerosene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_gasoline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_lpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_heavy_fuel_oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_lng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_liquid_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_lohc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_baseload_export_ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_ultra_supercritical_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_ultra_supercritical_cofiring_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_combined_cycle_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_supercritical_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_ultra_supercritical_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_ultra_supercritical_cofiring_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_turbine_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_ultra_supercritical_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_engine_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_combined_cycle_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_local_engine_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_ultra_supercritical_crude_oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_engine_diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_nuclear_gen2_uranium_oxide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merit_order_subtype_of_energy_power_nuclear_uranium_oxide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_nuclear_small_modular_reactor_uranium_oxide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_of_energy_steel_energy_production_coal_gas,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
share_of_energy_steel_chemical_feedstock_coal_gas,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
capacity_of_energy_power_wind_turbine_inland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_wind_turbine_coastal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_wind_turbine_offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_hybrid_wind_turbine_offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_buildings_solar_pv_solar_radiation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_solar_pv_solar_radiation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_solar_pv_offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_hydro_river,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
capacity_of_energy_power_hydro_mountain,1933.0,1933.0,1933.0,1933.0,1933.0,1933.0,1933.0,1933.0,1933.0,1933.0
capacity_of_energy_chp_local_engine_biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_local_wood_pellets_must_run,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_local_wood_pellets_dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_supercritical_waste_mix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_turbine_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_combined_cycle_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_of_energy_chp_ultra_supercritical_ht_coal,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
share_of_energy_chp_ultra_supercritical_mt_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_of_energy_chp_ultra_supercritical_cofiring_ht_coal,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
share_of_energy_chp_ultra_supercritical_cofiring_mt_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_of_energy_chp_combined_cycle_ht_network_gas,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
share_of_energy_chp_combined_cycle_mt_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_of_energy_chp_local_engine_ht_network_gas,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
share_of_energy_chp_local_engine_mt_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_of_energy_chp_local_ht_wood_pellets_must_run,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
share_of_energy_chp_local_mt_wood_pellets_must_run,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_of_energy_chp_local_ht_wood_pellets_dispatchable,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
share_of_energy_chp_local_mt_wood_pellets_dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_of_energy_chp_local_engine_ht_biogas,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
share_of_energy_chp_local_engine_mt_biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_of_energy_chp_supercritical_ht_waste_mix,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
share_of_energy_chp_supercritical_mt_waste_mix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_of_energy_heat_flexibility_p2h_boiler_ht_electricity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
share_of_energy_heat_flexibility_p2h_boiler_mt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_of_energy_heat_flexibility_p2h_heatpump_ht_electricity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
share_of_energy_heat_flexibility_p2h_heatpump_mt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_solar_ht_solar_thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_well_deep_ht_geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_ht_residual_heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_ht_imported_heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_boiler_ht_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_water_water_ht_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_ht_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_ht_wood_pellets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_ht_waste_mix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_ht_crude_oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_ht_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_ht_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_storage_enabled_ht,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_heat_network_storage_ht_loss_share,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
energy_heat_network_storage_ht_steam_hot_water_output_capacity_share,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
energy_heat_distribution_ht_loss_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_solar_mt_solar_thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_well_deep_mt_geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_well_shallow_heatpump_mt_geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_mt_residual_heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_mt_imported_heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_water_water_mt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_boiler_mt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_mt_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_mt_wood_pellets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_mt_waste_mix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_mt_crude_oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_mt_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_mt_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_surface_water_water_ts_mt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_waste_water_water_ts_mt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_drink_water_water_ts_mt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_storage_enabled_mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_heat_network_storage_mt_loss_share,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
energy_heat_network_storage_mt_steam_hot_water_output_capacity_share,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
energy_heat_distribution_mt_loss_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_solar_lt_solar_thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_well_shallow_lt_geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_lt_residual_heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_of_lt_imported_heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_water_water_lt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_boiler_lt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_lt_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_surface_water_water_ts_lt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_waste_water_water_ts_lt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_drink_water_water_ts_lt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_storage_enabled_lt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_heat_network_storage_lt_loss_share,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
energy_heat_network_storage_lt_steam_hot_water_output_capacity_share,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
energy_heat_distribution_lt_loss_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_wind_turbine_offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_solar_pv_solar_radiation,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
capacity_of_energy_hydrogen_biomass_gasification,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
capacity_of_energy_hydrogen_steam_methane_reformer_must_run,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
capacity_of_energy_hydrogen_autothermal_reformer_must_run,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
capacity_of_energy_hydrogen_ammonia_reformer_must_run,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_liquid_hydrogen_regasifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_lohc_reformer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_imported_hydrogen_baseload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_steam_methane_reformer_dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_autothermal_reformer_dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_ammonia_reformer_dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_hydrogen_transport_pipelines_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_hydrogen_distribution_compressed_trucks_share,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
volume_of_energy_hydrogen_storage_salt_cavern,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
capacity_of_energy_hydrogen_storage_salt_cavern,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
volume_of_energy_hydrogen_storage_depleted_gas_field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_storage_depleted_gas_field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_imported_ammonia_baseload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_road_mixer_diesel_diesel_share,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
transport_road_mixer_diesel_biodiesel_share,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
transport_road_mixer_gasoline_gasoline_share,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
transport_road_mixer_gasoline_ethanol_share,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
transport_road_mixer_lng_lng_share,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
transport_road_mixer_lng_bio_lng_share,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
transport_rail_mixer_diesel_diesel_share,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
transport_rail_mixer_diesel_biodiesel_share,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
transport_shipping_mixer_diesel_diesel_share,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
transport_shipping_mixer_diesel_biodiesel_share,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
transport_shipping_mixer_diesel_lng_share,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
transport_shipping_mixer_diesel_bio_lng_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_shipping_mixer_diesel_bio_ethanol_share,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
transport_shipping_mixer_diesel_heavy_fuel_oil_share,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
transport_shipping_mixer_lng_lng_share,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
transport_shipping_mixer_lng_bio_lng_share,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
bunkers_plane_using_kerosene_share,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
bunkers_plane_using_bio_kerosene_share,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
max_demand_of_wet_biomass,242.6,242.6,242.6,242.6,242.6,242.6,242.6,242.6,242.6,242.6
max_demand_of_dry_biomass,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1
max_demand_of_oily_biomass,249.2,249.2,249.2,249.2,249.2,249.2,249.2,249.2,249.2,249.2
max_demand_of_biogenic_waste,143.6,143.6,143.6,143.6,143.6,143.6,143.6,143.6,143.6,143.6
energy_treatment_natural_gas_share,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
green_gas_total_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
propane_gas_total_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_total_share,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
energy_regasification_lng_share,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
energy_biogas_fermentation_share,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
energy_greengas_gasification_dry_biomass_share,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4
energy_greengas_gasification_wet_biomass_share,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
industry_steel_cyclonefurnace_bof_wood_pellets_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
co_firing_biocoal_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_mixer_for_gas_power_fuel_natural_gas_share,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
energy_mixer_for_gas_power_fuel_bio_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_mixer_for_gas_power_fuel_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate_relevant_co2_biomass_gas_present,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate_relevant_co2_biomass_liquid_present,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate_relevant_co2_biomass_solid_present,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate_relevant_co2_biomass_gas_future,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate_relevant_co2_biomass_liquid_future,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate_relevant_co2_biomass_solid_future,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
households_diesel_in_crude_oil_share,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
households_biodiesel_in_crude_oil_share,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
households_kerosene_in_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
households_bio_kerosene_in_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
households_lpg_in_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
households_other_oil_in_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
households_other_bio_oil_in_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_diesel_in_crude_oil_share,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
buildings_biodiesel_in_crude_oil_share,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
buildings_kerosene_in_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_bio_kerosene_in_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_lpg_in_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_other_oil_in_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
