input,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9
households_heater_heatpump_pvt_electricity_heat_output_capacity,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8
households_heater_district_heating_lt_steam_hot_water_heat_output_capacity,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
households_heater_district_heating_mt_steam_hot_water_heat_output_capacity,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
households_heater_district_heating_ht_steam_hot_water_heat_output_capacity,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
households_heater_hybrid_heattpump_air_water_electricity_heat_output_capacity,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
households_heater_hybrid_hydrogen_heatpump_air_water_electricity_heat_output_capacity,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
households_heater_hybrid_crude_oil_heatpump_air_water_electricity_heat_output_capacity,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2
buildings_space_heater_solar_thermal_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_combined_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_district_heating_ht_steam_hot_water_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_district_heating_mt_steam_hot_water_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_district_heating_lt_steam_hot_water_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_heatpump_air_water_network_gas_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_hybrid_crude_oil_heatpump_air_water_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_heatpump_surface_water_water_ts_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_coal_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_cooling_heatpump_air_water_network_gas_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_cooling_heatpump_air_water_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_cooling_collective_heatpump_water_water_ts_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
